date_mesure,geocode_commune,libelle_commune,mode_transport,valeur
2022-01-01T00:00:00.000,42242,Saint-Joseph,Transports en commun,76.93610014224433
2022-01-01T00:00:00.000,70165,Combeaufontaine,Deux-roues motorisé,4.3735125258553
2022-01-01T00:00:00.000,49113,Courchamps,Pas de transport,15.01577078877566
2022-01-01T00:00:00.000,71443,Saint-Loup-Géanges,Voiture,738.7552461727503
2022-01-01T00:00:00.000,78302,La Hauteville,Voiture,55.0
2022-01-01T00:00:00.000,46118,Gignac,Voiture,216.76613756921617
2022-01-01T00:00:00.000,2A062,Carbuccia,Pas de transport,7.11345281995125
2022-01-01T00:00:00.000,25275,Glère,Deux-roues motorisé,5.0
2022-01-01T00:00:00.000,35070,Châteauneuf-d'Ille-et-Vilaine,Voiture,678.7385358337738
2022-01-01T00:00:00.000,60073,Blacourt,Deux-roues motorisé,4.70082918470843
2022-01-01T00:00:00.000,28377,Sorel-Moussel,Deux-roues motorisé,5.36356499345728
2022-01-01T00:00:00.000,07108,Jaunac,Pas de transport,25.20833333333335
2022-01-01T00:00:00.000,47015,Astaffort,Deux-roues motorisé,5.26374842542716
2022-01-01T00:00:00.000,31490,Saint-Jory,Pas de transport,149.27308589703682
2022-01-01T00:00:00.000,10326,Rosnay-l'Hôpital,Voiture,51.6129032258065
2022-01-01T00:00:00.000,17045,Beurlay,Voiture,393.87167264365456
2022-01-01T00:00:00.000,88419,Saint-Jean-d'Ormont,Voiture,49.548387096774235
2022-01-01T00:00:00.000,22229,Plounévez-Quintin,Deux-roues motorisé,10.40273738835388
2022-01-01T00:00:00.000,89077,Champs-sur-Yonne,Pas de transport,25.35416906223583
2022-01-01T00:00:00.000,33166,Le Fieu,Pas de transport,19.46231665269751
2022-01-01T00:00:00.000,65110,Bugard,Voiture,34.23529411764708
2022-01-01T00:00:00.000,39056,Bletterans,Deux-roues motorisé,10.06344905327524
2022-01-01T00:00:00.000,31336,Mazères-sur-Salat,Vélo,15.29850137845999
2022-01-01T00:00:00.000,54298,Laneuveville-derrière-Foug,Voiture,45.0
2022-01-01T00:00:00.000,28315,Revercourt,Pas de transport,5.0
2022-01-01T00:00:00.000,88285,Mandres-sur-Vair,Voiture,179.04850158492326
2022-01-01T00:00:00.000,26205,Montmaur-en-Diois,Voiture,23.75
2022-01-01T00:00:00.000,72186,Maresché,Deux-roues motorisé,5.15901918144643
2022-01-01T00:00:00.000,45345,Vimory,Deux-roues motorisé,4.85496482833783
2022-01-01T00:00:00.000,11256,Montséret,Marche,5.16225558093869
2022-01-01T00:00:00.000,70314,Magnivray,Voiture,46.857142857142904
2022-01-01T00:00:00.000,44216,Vieillevigne,Pas de transport,63.75478500312689
2022-01-01T00:00:00.000,76532,Rocquemont,Voiture,361.1984988336222
2022-01-01T00:00:00.000,62014,Aire-sur-la-Lys,Vélo,74.62601207975416
2022-01-01T00:00:00.000,54304,Laxou,Deux-roues motorisé,41.16815078555192
2022-01-01T00:00:00.000,45193,Marcilly-en-Villette,Deux-roues motorisé,20.47273257340742
2022-01-01T00:00:00.000,57237,Frémestroff,Pas de transport,4.94663729525005
2022-01-01T00:00:00.000,60495,Plainval,Voiture,162.7964397150455
2022-01-01T00:00:00.000,40209,Ondres,Vélo,47.05782165190994
2022-01-01T00:00:00.000,12163,Murasson,Pas de transport,10.14285714285714
2022-01-01T00:00:00.000,71570,Verjux,Pas de transport,4.92454296460927
2022-01-01T00:00:00.000,83112,Saint-Cyr-sur-Mer,Voiture,3475.902417650977
2022-01-01T00:00:00.000,65271,Lézignan,Voiture,115.63673231595983
2022-01-01T00:00:00.000,71330,Neuvy-Grandchamp,Voiture,250.4817924557881
2022-01-01T00:00:00.000,62261,Cucq,Pas de transport,80.01570166830224
2022-01-01T00:00:00.000,89161,Étivey,Pas de transport,5.31428571428571
2022-01-01T00:00:00.000,62817,Tilloy-lès-Mofflaines,Transports en commun,79.47019867549666
2022-01-01T00:00:00.000,68326,Sternenberg,Voiture,72.00157369943189
2022-01-01T00:00:00.000,27105,Grand Bourgtheroulde,Pas de transport,74.46457142367692
2022-01-01T00:00:00.000,59028,Auby,Deux-roues motorisé,89.34651679783124
2022-01-01T00:00:00.000,35032,Bourgbarré,Voiture,2061.2920539868883
2022-01-01T00:00:00.000,59400,Merville,Voiture,3364.221004839268
2022-01-01T00:00:00.000,31411,Pechbusque,Voiture,346.242106738876
2022-01-01T00:00:00.000,80690,Rumigny,Transports en commun,10.37037167719174
2022-01-01T00:00:00.000,65396,Saint-Savin,Marche,10.21180077082825
2022-01-01T00:00:00.000,57516,Oberdorff,Transports en commun,9.8898618119488
2022-01-01T00:00:00.000,51348,Marfaux,Transports en commun,4.26923076923077
2022-01-01T00:00:00.000,49127,Durtal,Marche,50.72799871259059
2022-01-01T00:00:00.000,02227,Courmont,Pas de transport,5.125
2022-01-01T00:00:00.000,33006,Anglade,Deux-roues motorisé,9.821988855896109
2022-01-01T00:00:00.000,29254,Saint-Martin-des-Champs,Marche,110.33661202185797
2022-01-01T00:00:00.000,62623,Nouvelle-Église,Pas de transport,10.201729279365761
2022-01-01T00:00:00.000,02397,Jussy,Marche,10.59488189713796
2022-01-01T00:00:00.000,10051,Bouilly,Vélo,5.188137149675
2022-01-01T00:00:00.000,32208,Lectoure,Pas de transport,209.05247025384932
2022-01-01T00:00:00.000,27689,Villegats,Transports en commun,15.34403012291083
2022-01-01T00:00:00.000,91129,Cerny,Voiture,1322.971538299174
2022-01-01T00:00:00.000,70523,Vars,Vélo,5.11111111111111
2022-01-01T00:00:00.000,19211,Saint-Hilaire-Peyroux,Marche,4.54609816895888
2022-01-01T00:00:00.000,33123,Cézac,Marche,20.65244021063516
2022-01-01T00:00:00.000,18086,Drevant,Pas de transport,5.21907347388278
2022-01-01T00:00:00.000,10392,Vallant-Saint-Georges,Pas de transport,15.49680364552301
2022-01-01T00:00:00.000,47245,Saint-Géraud,Voiture,34.4
2022-01-01T00:00:00.000,08142,Donchery,Voiture,713.8778713019381
2022-01-01T00:00:00.000,68025,Bendorf,Deux-roues motorisé,5.45652173913043
2022-01-01T00:00:00.000,76205,Crosville-sur-Scie,Vélo,5.17777777777778
2022-01-01T00:00:00.000,29113,Lanmeur,Voiture,668.3536868924167
2022-01-01T00:00:00.000,73043,La Biolle,Voiture,1221.8776324247608
2022-01-01T00:00:00.000,21558,Sainte-Marie-la-Blanche,Transports en commun,24.513430004032237
2022-01-01T00:00:00.000,64464,Ribarrouy,Pas de transport,8.52631578947368
2022-01-01T00:00:00.000,80695,Sailly-Saillisel,Pas de transport,11.90841932832016
2022-01-01T00:00:00.000,63014,Aubière,Marche,254.30469459955867
2022-01-01T00:00:00.000,77083,Champs-sur-Marne,Marche,578.9484446605682
2022-01-01T00:00:00.000,23078,Faux-Mazuras,Voiture,89.52631578947377
2022-01-01T00:00:00.000,02443,Lucy-le-Bocage,Voiture,59.79487179487183
2022-01-01T00:00:00.000,28424,Yèvres,Vélo,14.75294117647059
2022-01-01T00:00:00.000,35049,Cancale,Vélo,78.48746900976032
2022-01-01T00:00:00.000,49353,Trélazé,Vélo,327.79079347320965
2022-01-01T00:00:00.000,77265,Luzancy,Marche,10.00956937799044
2022-01-01T00:00:00.000,35123,Goven,Deux-roues motorisé,36.80646176062192
2022-01-01T00:00:00.000,51609,Verneuil,Marche,4.97041420118343
2022-01-01T00:00:00.000,17112,La Clisse,Pas de transport,14.80625273282508
2022-01-01T00:00:00.000,76618,Petit-Caux,Deux-roues motorisé,35.58007353311549
2022-01-01T00:00:00.000,30068,Cardet,Marche,9.57565081022776
2022-01-01T00:00:00.000,29210,Plouvorn,Marche,15.135860157941
2022-01-01T00:00:00.000,65258,Lannemezan,Vélo,34.2889667207748
2022-01-01T00:00:00.000,27698,Vitot,Voiture,191.11594115480105
2022-01-01T00:00:00.000,53255,Sainte-Suzanne-et-Chammes,Pas de transport,39.37448559670784
2022-01-01T00:00:00.000,45178,Ladon,Transports en commun,24.764222616892972
2022-01-01T00:00:00.000,19038,Chameyrat,Marche,4.95622029505648
2022-01-01T00:00:00.000,89196,Valravillon,Marche,20.16813529390206
2022-01-01T00:00:00.000,22241,Plumieux,Deux-roues motorisé,9.93975008978723
2022-01-01T00:00:00.000,21623,Tart,Pas de transport,20.10491803278688
2022-01-01T00:00:00.000,69292,Sathonay-Camp,Deux-roues motorisé,59.878991596638606
2022-01-01T00:00:00.000,10161,Fresnay,Pas de transport,11.11111111111112
2022-01-01T00:00:00.000,54090,Bouxières-aux-Dames,Transports en commun,59.90909090909089
2022-01-01T00:00:00.000,02508,Monthenault,Voiture,44.13043478260872
2022-01-01T00:00:00.000,08381,Saint-Germainmont,Pas de transport,9.60613223479336
