date_mesure,geocode_region,libelle_region,mode_transport,valeur
2022-01-01T00:00:00.000,03,Guyane,Pas de transport,2688.663099450314
2022-01-01T00:00:00.000,03,Guyane,Deux-roues motorisé,4645.481836734576
2022-01-01T00:00:00.000,11,Île-de-France,Transports en commun,2467720.5954063986
2022-01-01T00:00:00.000,03,Guyane,Marche,6873.323971654378
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Vélo,144390.0527184239
2022-01-01T00:00:00.000,11,Île-de-France,Pas de transport,196900.6640689429
2022-01-01T00:00:00.000,24,Centre-Val de Loire,Pas de transport,46733.16435463316
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Vélo,28769.133309609166
2022-01-01T00:00:00.000,04,La Réunion,Vélo,4958.5151087446475
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Marche,122153.76515220714
2022-01-01T00:00:00.000,03,Guyane,Vélo,2965.9519019549653
2022-01-01T00:00:00.000,03,Guyane,Voiture,61079.38592568555
2022-01-01T00:00:00.000,24,Centre-Val de Loire,Voiture,829225.4410235146
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Transports en commun,229681.2991198215
2022-01-01T00:00:00.000,44,Grand Est,Pas de transport,87761.84465857038
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Pas de transport,84643.04266853351
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Marche,76467.85761681003
2022-01-01T00:00:00.000,28,Normandie,Deux-roues motorisé,16434.833975219466
2022-01-01T00:00:00.000,04,La Réunion,Voiture,231664.9932830577
2022-01-01T00:00:00.000,01,Guadeloupe,Vélo,826.7798658996512
2022-01-01T00:00:00.000,53,Bretagne,Transports en commun,89421.17905647372
2022-01-01T00:00:00.000,44,Grand Est,Transports en commun,192625.33197888112
2022-01-01T00:00:00.000,28,Normandie,Pas de transport,59326.424799174216
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Deux-roues motorisé,11358.820602995447
2022-01-01T00:00:00.000,75,Nouvelle-Aquitaine,Deux-roues motorisé,40545.873799309054
2022-01-01T00:00:00.000,52,Pays de la Loire,Transports en commun,125815.40586166135
2022-01-01T00:00:00.000,84,Auvergne-Rhône-Alpes,Voiture,2569535.461064319
2022-01-01T00:00:00.000,76,Occitanie,Pas de transport,115084.40279723435
2022-01-01T00:00:00.000,44,Grand Est,Voiture,1805740.433433362
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Marche,148502.69187887013
2022-01-01T00:00:00.000,28,Normandie,Transports en commun,92968.37675932366
2022-01-01T00:00:00.000,93,Provence-Alpes-Côte d'Azur,Voiture,1479924.5536678447
2022-01-01T00:00:00.000,24,Centre-Val de Loire,Marche,56192.04956591728
2022-01-01T00:00:00.000,11,Île-de-France,Marche,407593.8609176192
2022-01-01T00:00:00.000,02,Martinique,Voiture,114405.38627490781
2022-01-01T00:00:00.000,76,Occitanie,Vélo,91296.28165748039
2022-01-01T00:00:00.000,32,Hauts-de-France,Marche,132380.11954592698
2022-01-01T00:00:00.000,32,Hauts-de-France,Pas de transport,85975.41048222012
2022-01-01T00:00:00.000,53,Bretagne,Vélo,46186.79033740997
2022-01-01T00:00:00.000,04,La Réunion,Deux-roues motorisé,7640.461962671529
2022-01-01T00:00:00.000,52,Pays de la Loire,Deux-roues motorisé,27762.615638982992
2022-01-01T00:00:00.000,24,Centre-Val de Loire,Transports en commun,81330.81379857862
2022-01-01T00:00:00.000,44,Grand Est,Marche,144367.44327614913
2022-01-01T00:00:00.000,11,Île-de-France,Deux-roues motorisé,149674.65469424598
2022-01-01T00:00:00.000,53,Bretagne,Pas de transport,65932.91857171796
2022-01-01T00:00:00.000,28,Normandie,Voiture,1075523.076685557
2022-01-01T00:00:00.000,27,Bourgogne-Franche-Comté,Voiture,916230.598433452
2022-01-01T00:00:00.000,01,Guadeloupe,Marche,5640.69488835107
2022-01-01T00:00:00.000,32,Hauts-de-France,Vélo,56338.17005334686
